Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-07-15 07:09:40,false,"Gölcük Running","6.04","543","00:40:02","160","174","3.2","149","153","6:37","5:58","27","40","1.01","9.0","9.1","318","6:39","340","0.0","338","423","5,948","-12","--","No","00:00:17.6","7","--","00:40:00","00:40:02","3","27"
Running,2025-07-14 07:09:10,false,"Gölcük Running","7.01","621","00:45:55","157","172","3.3","148","152","6:33","5:54","28","37","1.03","8.9","9.2","320","6:34","344","0.0","341","440","6,786","-14","--","No","00:00:03.5","8","--","00:45:51","00:46:16","3","26"
Running,2025-07-13 07:10:08,false,"Gölcük Running","10.01","897","01:06:51","160","174","3.7","148","152","6:40","6:24","38","53","1.01","9.0","9.1","322","6:41","336","0.0","335","421","9,870","-21","--","No","00:00:05.9","11","--","01:06:49","01:06:51","2","26"
Running,2025-07-11 07:12:50,false,"Gölcük Running","7.01","635","00:46:02","163","177","3.5","148","153","6:34","5:50","28","40","1.02","8.9","9.1","318","6:35","340","0.0","338","437","6,832","-15","--","No","00:00:03.6","8","--","00:45:58","00:46:35","2","26"
Running,2025-07-10 07:16:02,false,"Gölcük Running","7.01","642","00:46:54","165","178","3.4","149","153","6:41","6:00","31","40","1.00","9.0","9.0","318","6:42","338","0.0","336","435","6,980","-15","--","No","00:00:04.4","8","--","00:46:52","00:48:35","1","25"
Running,2025-07-09 07:16:24,false,"Gölcük Running","8.03","736","00:53:33","167","180","3.6","147","152","6:40","6:13","29","44","1.02","9.0","9.1","322","6:41","335","0.0","333","423","7,882","-17","--","No","00:00:11.6","9","--","00:53:32","00:53:43","2","26"
Running,2025-07-07 07:15:35,false,"Gölcük Running","5.01","449","00:33:24","159","173","3.0","148","152","6:40","5:54","22","34","1.01","9.0","9.1","320","6:42","336","0.0","334","440","4,944","-11","--","No","00:00:03.0","6","--","00:33:22","00:36:09","2","26"
Running,2025-07-06 07:07:53,false,"Gölcük Running","7.01","634","00:45:57","164","177","3.5","147","154","6:33","5:41","30","40","1.03","8.9","9.2","321","6:34","342","0.0","341","445","6,754","-15","--","No","00:00:04.5","8","--","00:45:55","00:47:28","0","25"
Running,2025-07-03 07:03:23,false,"Kusadasi Running","8.02","700","00:51:00","157","168","3.5","148","152","6:22","6:03","6","3","1.06","8.8","9.3","318","6:22","357","0.0","356","419","7,532","-12","--","No","00:00:08.3","9","--","00:50:58","00:51:00","1","5"
Running,2025-07-02 07:05:05,false,"Kusadasi Running","8.02","721","00:51:46","163","172","3.6","148","153","6:27","5:54","5","2","1.05","8.8","9.3","320","6:28","351","0.0","350","412","7,634","-14","--","No","00:00:07.2","9","--","00:51:45","00:51:46","--","5"
Running,2025-06-30 07:03:43,false,"Kusadasi Running","10.08","917","01:05:48","167","179","4.0","147","152","6:32","6:05","4","3","1.04","8.9","9.2","322","6:32","352","0.0","350","404","9,664","-19","--","No","00:00:30.6","11","--","01:05:45","01:05:48","1","5"
Running,2025-06-29 07:23:15,false,"Kusadasi Running","7.03","631","00:45:20","163","178","3.7","147","155","6:27","6:03","8","9","1.05","8.8","9.3","321","6:26","347","0.0","347","417","6,644","-13","--","No","00:00:11.1","8","--","00:45:15","00:45:50","0","4"
Running,2025-06-19 07:55:22,false,"Gölcük Running","7.02","629","00:45:37","163","174","3.4","148","159","6:30","5:38","30","43","1.04","8.9","9.2","320","6:31","346","0.0","343","439","6,730","-14","--","No","00:00:08.9","8","--","00:45:34","00:46:55","2","26"
Running,2025-06-18 07:46:23,false,"Gölcük Running","8.03","707","00:52:14","158","169","3.4","148","152","6:30","6:06","31","45","1.04","8.9","9.2","321","6:31","346","0.0","345","427","7,688","-15","--","No","00:00:10.5","9","--","00:52:13","00:52:14","0","25"
Running,2025-06-13 07:28:01,false,"Kusadasi Running","10.01","905","01:05:48","164","174","3.7","148","152","6:34","6:07","1","1","1.03","8.9","9.2","321","6:34","336","0.0","336","386","9,692","-18","--","No","00:00:05.8","11","--","01:05:44","01:05:48","1","3"
Running,2025-06-12 07:38:52,false,"Kusadasi Running","7.02","629","00:45:22","162","174","3.6","147","153","6:28","6:10","--","1","1.05","8.8","9.3","321","6:29","345","0.0","344","432","6,668","-13","--","No","00:00:04.7","8","--","00:45:20","00:45:22","1","3"
Running,2025-06-11 07:35:47,false,"Kusadasi Running","9.01","812","00:58:33","165","177","3.8","148","158","6:30","6:06","5","5","1.04","8.9","9.2","319","6:30","341","0.0","340","407","8,646","-16","--","No","00:00:03.9","10","--","00:58:30","00:58:33","1","3"
Running,2025-06-10 07:35:00,false,"Kusadasi Running","10.10","905","01:05:41","164","174","3.9","147","153","6:30","5:41","7","6","1.04","8.9","9.2","321","6:31","344","0.0","343","460","9,646","-19","--","No","00:00:36.5","11","--","01:05:38","01:05:41","1","5"
Running,2025-06-08 07:44:24,false,"Kusadasi Running","7.05","640","00:45:32","169","181","3.6","147","152","6:27","5:51","4","1","1.05","8.8","9.3","320","6:29","344","0.0","344","396","6,692","-11","--","No","00:00:17.9","8","--","00:45:28","00:48:01","--","3"
Running,2025-06-07 08:22:26,false,"Kusadasi Running","7.05","639","00:45:06","169","183","3.8","146","153","6:24","5:19","2","1","1.06","8.8","9.3","319","6:25","344","0.0","344","442","6,644","-8","--","No","00:00:16.9","8","--","00:45:01","00:49:17","1","3"
Running,2025-06-06 07:37:29,false,"Kusadasi Running","6.01","546","00:38:45","169","181","3.6","147","150","6:27","5:57","1","3","1.06","8.8","9.3","323","6:27","347","0.0","347","407","5,662","-13","--","No","00:00:03.7","7","--","00:38:43","00:38:45","-0","2"
